source_name,source_stream,source_type,image_count,active_days,first_date,last_date,open_source_count,mean_width,mean_height,share_of_images,open_source_rate,rank
english.kontan.co.id,gdelt_doc_socialimage,news_image,1,1,2022-07-04,2022-07-04,0,675.0,450.0,0.0006844626967830253,0.0,99
err.ee,gdelt_doc_socialimage,news_image,1,1,2022-06-18,2022-06-18,0,672.0,420.0,0.0006844626967830253,0.0,100
etftrends.com,gdelt_doc_socialimage,news_image,1,1,2022-09-12,2022-09-12,0,768.0,519.0,0.0006844626967830253,0.0,101
fakti.bg,gdelt_doc_socialimage,news_image,1,1,2023-10-18,2023-10-18,0,450.0,235.0,0.0006844626967830253,0.0,102
finance.si,gdelt_doc_socialimage,news_image,1,1,2022-08-24,2022-08-24,0,768.0,433.0,0.0006844626967830253,0.0,103
finance.sina.com.cn,gdelt_doc_socialimage,news_image,1,1,2025-07-15,2025-07-15,0,768.0,438.0,0.0006844626967830253,0.0,104
financialmirror.com,gdelt_doc_socialimage,news_image,1,1,2026-01-19,2026-01-19,0,712.0,294.0,0.0006844626967830253,0.0,105
fnnews.com,gdelt_doc_socialimage,news_image,1,1,2025-05-20,2025-05-20,0,768.0,511.0,0.0006844626967830253,0.0,106
focus-news.net,gdelt_doc_socialimage,news_image,1,1,2025-11-13,2025-11-13,0,620.0,413.0,0.0006844626967830253,0.0,107
freepressjournal.in,gdelt_doc_socialimage,news_image,1,1,2024-08-19,2024-08-19,0,768.0,432.0,0.0006844626967830253,0.0,108
garoweonline.com,gdelt_doc_socialimage,news_image,1,1,2023-05-13,2023-05-13,0,600.0,600.0,0.0006844626967830253,0.0,109
gulf-times.com,gdelt_doc_socialimage,news_image,1,1,2023-12-30,2023-12-30,0,240.0,300.0,0.0006844626967830253,0.0,110
hindi.moneycontrol.com,gdelt_doc_socialimage,news_image,1,1,2025-06-12,2025-06-12,0,768.0,432.0,0.0006844626967830253,0.0,111
huffingtonpost.es,gdelt_doc_socialimage,news_image,1,1,2023-03-05,2023-03-05,0,768.0,432.0,0.0006844626967830253,0.0,112
index.hu,gdelt_doc_socialimage,news_image,1,1,2023-10-14,2023-10-14,0,768.0,403.0,0.0006844626967830253,0.0,113
indiainfoline.com,gdelt_doc_socialimage,news_image,1,1,2024-11-07,2024-11-07,0,768.0,432.0,0.0006844626967830253,0.0,114
indiapost.com,gdelt_doc_socialimage,news_image,1,1,2024-09-25,2024-09-25,0,768.0,432.0,0.0006844626967830253,0.0,115
insidetrade.co,gdelt_doc_socialimage,news_image,1,1,2024-03-01,2024-03-01,0,768.0,384.0,0.0006844626967830253,0.0,116
investingdaily.com,gdelt_doc_socialimage,news_image,1,1,2023-06-16,2023-06-16,0,624.0,420.0,0.0006844626967830253,0.0,117
irozhlas.cz,gdelt_doc_socialimage,news_image,1,1,2024-02-19,2024-02-19,0,768.0,403.0,0.0006844626967830253,0.0,118
journalrecord.com,gdelt_doc_socialimage,news_image,1,1,2026-02-26,2026-02-26,0,768.0,512.0,0.0006844626967830253,0.0,119
kesq.com,gdelt_doc_socialimage,news_image,1,1,2026-01-17,2026-01-17,0,768.0,432.0,0.0006844626967830253,0.0,120
koreaherald.com,gdelt_doc_socialimage,news_image,1,1,2024-04-29,2024-04-29,0,768.0,230.0,0.0006844626967830253,0.0,121
ktvz.com,gdelt_doc_socialimage,news_image,1,1,2025-06-03,2025-06-03,0,640.0,360.0,0.0006844626967830253,0.0,122
lb.ua,gdelt_doc_socialimage,news_image,1,1,2024-02-05,2024-02-05,0,200.0,130.0,0.0006844626967830253,0.0,123
lsm.lv,gdelt_doc_socialimage,news_image,1,1,2026-01-10,2026-01-10,0,768.0,512.0,0.0006844626967830253,0.0,124
metrotvnews.com,gdelt_doc_socialimage,news_image,1,1,2023-09-02,2023-09-02,0,768.0,431.0,0.0006844626967830253,0.0,125
milliyet.com.tr,gdelt_doc_socialimage,news_image,1,1,2025-12-12,2025-12-12,1,730.0,410.0,0.0006844626967830253,1.0,126
milwaukeesun.com,gdelt_doc_socialimage,news_image,1,1,2025-12-29,2025-12-29,1,600.0,315.0,0.0006844626967830253,1.0,127
